uid,name,status,location,startdate,enddate,mice_eliminated,source,twitterhandle
0,Larry,Active,10 Downing Street,11/02/2011,,12,https://en.wikipedia.org/wiki/Larry_(cat),@Number10cat
1,Freya,Inactive,11 Downing Street,16/09/2012,09/11/2014,2,https://en.wikipedia.org/wiki/Freya_(cat),
2,Palmerston,Active,Foreign and Commonwealth Office,13/04/2016,,0,https://en.wikipedia.org/wiki/Palmerston_(cat),@diplomog
3,Gladstone,Active,HM Treasury,01/06/2016,,0,https://en.wikipedia.org/wiki/Gladstone_(cat),@HMTreasuryCat
4,Cromwell,In Progress,Cabinet Office,,,,http://www.telegraph.co.uk/news/2016/08/03/cabinet-office-set-to-appoint-cat-called-cromwell-as-chief-mouse/,
5,Humphrey,Deceased,10 Downing Street,1988,2006-03,52,https://en.wikipedia.org/wiki/Humphrey_(cat),
6,Wilberforce,Deceased,10 Downing Street,1973,1986,9,https://en.wikipedia.org/wiki/Wilberforce_(cat),
7,Peter,Deceased,Home Office,1929,1946,24,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
8,Peter II,Deceased,Home Office,1946,1946,1,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
9,Peter III,Deceased,Home Office,1946,1964,30,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
10,Peta,Inactive,Home Office,1964,,,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
11,Sybil,Deceased,11 Downing Street,2006,27/07/2009,3,https://en.wikipedia.org/wiki/Sybil_(cat),
12,Treasury Bill,Inactive,10 Downing Street,1924,1924,0,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
13,Munich Mouser,Inactive,10 Downing Street,1937,1943,5,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
14,Nelson,Inactive,10 Downing Street,,,,https://en.wikipedia.org/wiki/Chief_Mouser_to_the_Cabinet_Office,
15,Jumbo,Inactive,Cabinet War Rooms,,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
16,Frilly,Deceased,British War Office,1909,,12,http://www.purr-n-fur.org.uk/famous/humphrey.html,
17,Smokey,Inactive,HM Treasury,,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
18,Emily,Inactive,Home Office,,,,http://www.purr-n-fur.org.uk/famous/humphrey.html,
19,Nemo,Inactive,10 Downing Street,1964,,8,http://www.purr-n-fur.org.uk/famous/humphrey.html,
20,Jilkie,Unknown,UK Embassy Qatar,01/07/2015,,2,https://www.instagram.com/p/4lyzjyNQdY/,
21,Molly,Unknown,UK Ambassador's Residence Bulgaria,26/02/2014,,2,http://blogs.fco.gov.uk/britishembassysofia/2014/02/26/living-in-the-british-ambassadors-residence-in-sofia/,
